id,batchID,equinomeID,SNPChip,Year of Birth,sex,Country Reported,Horse Name,Sire,Dam,Month of Birth,Country of Birth,,,,,,,
20141029_JSB162,20141029,JSB162,SNP70,2005,Female,Ireland,Veidhleadoir,Malibu Moon,Our Careyes,January,USA,,,,,,,
20141029_JSB175,20141029,JSB175,SNP70,2005,Female,Ireland,Pure Pup,High Chaparral,Rapparee,March,Ireland,,,,,,,
20141029_JSB203,20141029,JSB203,SNP70,2006,Male,Ireland,Seachantach,Elusive Quality,Subtle Breeze,February,USA,,,,,,,
20141029_JSB291,20141029,JSB291,SNP70,2007,Male,Ireland,Book Of Numbers,More Than Ready,Sugar Plum S.J.R.,February,USA,,,,,,,
20141029_JSB602,20141029,JSB602,SNP70,2008,Male,Ireland,General Bunching,Vindication,Listen,January,USA,,,,,,,
20141029_JSB620,20141029,JSB620,SNP70,2008,Male,Ireland,Statesmanship,Dubawi,State Secret,March,Great Britain,,,,,,,
20141029_JSB808,20141029,JSB808,SNP70,2009,Male,Ireland,,Pivotal,Ooh Aah Camara,March,Ireland,,,,,,,
20141029_JSB850,20141029,JSB850,SNP70,2010,Female,Ireland,Moma,Marchand de Sable,Fauvelia,February,France,,,,,,,
20141029_LIP001_197,20141029,LIP001_197,SNP70,2009,Female,Australia,Drunkenstein,Undoubtedly,Mungbean,November,Australia,,,,,,,
20141029_MJR001_007,20141029,MJR001_007,SNP70,2010,Male,Great Britain,Statutory,Authorized,Mialuna,February,Ireland,,,,,,,
20141029_MRS001_004,20141029,MRS001_004,SNP70,2007,Female,Australia,Sister Havana,General Nediym,Ultima  Vita,September,New Zealand,,,,,,,
20141029_MRS001_009,20141029,MRS001_009,SNP70,2000,Female,Australia,Catreign,Tale of the Cat,New Victoria,August,New Zealand,,,,,,,
20141029_NWS065,20141029,NWS065,SNP70,2002,Male,Great Britain,Red Chairman,Red Ransom,Chine,April,Great Britain,,,,,,,
20141029_NWS084,20141029,NWS084,SNP70,2003,Male,Great Britain,Atars Honor,Highest Honor,Atabaa,February,Great Britain,,,,,,,
20141029_NWS154,20141029,NWS154,SNP70,2007,Female,Great Britain,India Spirit,Dr Fong,Ginos Spirits,March,Great Britain,,,,,,,
20141029_NWS214,20141029,NWS214,SNP70,2008,Male,Great Britain,New Years Eve,Motivator,Midnight Angel,March,Great Britain,,,,,,,
20141029_NWS283,20141029,NWS283,SNP70,2009,Male,Great Britain,,Motivator,Shes Classy,April,Great Britain,,,,,,,
20141029_PBS040,20141029,PBS040,SNP70,2009,Female,Great Britain,Pearl War,War Front,B.W. Chargit,April,USA,,,,,,,
20141029_RS57,20141029,RS57,SNP70,1998,Female,Ireland,Tobiana,Erins Isle,Arquette,January,Ireland,,,,,,,
20141029_SF057,20141029,SF057,SNP70,2010,Male,USA,Casino Nite,First Samurai,Rhapsody Queen,February,USA,,,,,,,
20141029_SHS001_002,20141029,SHS001_002,SNP70,2000,Female,South Africa,Wanted,Iktamal,Lifes Romance,November,South Africa,,,,,,,
20141029_SHS001_029,20141029,SHS001_029,SNP70,2003,Female,South Africa,Hot Reception,Muhtafal,Triple Tempo,November,South Africa,,,,,,,
20141029_SHS001_133,20141029,SHS001_133,SNP70,2005,Female,South Africa,Ruby Rocks,Portrush,Gail-Fox-Vind,October,South Africa,,,,,,,
20141029_SHS001_146,20141029,SHS001_146,SNP70,1999,Female,South Africa,Ja-Ja,Jallad,Jolie Foverina,August,South Africa,,,,,,,
20141029_SHS001_163,20141029,SHS001_163,SNP70,2004,Female,South Africa,Bohemian Rhapsody,Galileo,Millions,November,Australia,,,,,,,
20141029_SHS001_166,20141029,SHS001_166,SNP70,2005,Female,South Africa,Bridge the Gap,Giants Causeway,Faralmond,April,USA,,,,,,,
20141029_SHS001_184,20141029,SHS001_184,SNP70,2004,Female,South Africa,Noma-India,Kahal,Bridal Paths,October,South Africa,,,,,,,
20141029_SHS001_237,20141029,SHS001_237,SNP70,2006,Female,South Africa,Mastende,Malhub,Mythical Madam,October,South Africa,,,,,,,
20141029_SHS001_254,20141029,SHS001_254,SNP70,2004,Female,South Africa,Sthukuthezi,Muhtafal,Lifes Romance,November,South Africa,,,,,,,
20141029_SOD012,20141029,SOD012,SNP70,2007,Female,Australia,Les Yeux Bleu,Verglas,Sanpala,March,Ireland,,,,,,,
20141029_VIS001_055,20141029,VIS001_055,SNP70,1994,Female,Australia,Pretty Buttons,Danehill,Ease On Down,August,Australia,,,,,,,
20141029_WKS001_051,20141029,WKS001_051,SNP70,2008,Male,New Zealand,Fast N Famous,Redoutes Choice,Zalinda,October,Australia,,,,,,,
20141029_WKS001_169,20141029,WKS001_169,SNP70,2008,Female,New Zealand,Serenade,OReilly,Aulide,September,New Zealand,,,,,,,
20141029_WTS001_027,20141029,WTS001_027,SNP70,,Female,South Africa,Hot Summers Night,Wolfhound,Niteinthewoods,August,South Africa,,,,,,,
20141029_WTS001_032,20141029,WTS001_032,SNP70,2006,Female,South Africa,Keep Icy Calm,One Cool Cat,Alazima,March,Ireland,,,,,,,
20141029_WTS001_067,20141029,WTS001_067,SNP70,1999,Female,South Africa,Teller Line,Roar,S.S. Asiatic,February,USA,,,,,,,
20141111_PBS001_014,20141111,PBS001_014,SNP70,,,,,,,,,,,,,,,
20141111_WDS001_039,20141111,WDS001_039,SNP70,2005,Female,Australia,Distant Thunder,Distant Music,Woodhaven,November,Australia,,,,,,,
20141117_RH002,20141117,RH002,SNP70,,Female,Ireland,Briannas Oscar,,,May,Ireland,,,,,,,
20141202_RJC001_035,20141202,RJC001_035,SNP70,2013,Female,France,,,,January,Great Britain,,,,,,,
20141202_WKS001_014,20141202,WKS001_014,SNP70,,,,,,,,,,,,,,,
20141205_DAR001_014,20141205,DAR001_014,SNP70,2014,Female,France,,,,April,Northern Hemisphere,,,,,,,
20141205_DAR001_015,20141205,DAR001_015,SNP70,2014,Female,France,,,,March,Northern Hemisphere,,,,,,,
20141205_DAR001_016,20141205,DAR001_016,SNP70,2014,Male,France,,,,April,Northern Hemisphere,,,,,,,
20141205_DAR001_017,20141205,DAR001_017,SNP70,2014,Male,France,,,,February,Northern Hemisphere,,,,,,,
